,school,sex,romantic,age,Mjob,Fjob,health,studytime,absences,G3
0,GP,F,no,18,at_home,teacher,3,2,6,6
1,GP,F,no,17,at_home,other,3,2,4,6
2,GP,F,no,15,at_home,other,3,2,10,10
3,GP,F,yes,15,health,services,5,3,2,15
4,GP,F,no,16,other,other,5,2,4,10
5,GP,M,no,16,services,other,5,2,10,15
6,GP,M,no,16,other,other,3,2,0,11
7,GP,F,no,17,other,teacher,1,2,6,6
8,GP,M,no,15,services,other,1,2,0,19
9,GP,M,no,15,other,other,5,2,0,15
10,GP,F,no,15,teacher,health,2,2,0,9
11,GP,F,no,15,services,other,4,3,4,12
12,GP,M,no,15,health,services,5,1,2,14
13,GP,M,no,15,teacher,other,3,2,2,11
14,GP,M,yes,15,other,other,3,3,0,16
15,GP,F,no,16,health,other,2,1,4,14
16,GP,F,no,16,services,services,2,3,6,14
17,GP,F,no,16,other,other,4,2,4,10
18,GP,M,no,17,services,services,5,1,16,5
19,GP,M,no,16,health,other,5,1,4,10
20,GP,M,no,15,teacher,other,1,2,0,15
21,GP,M,no,15,health,health,5,1,0,15
22,GP,M,no,16,teacher,other,5,2,2,16
23,GP,M,no,16,other,other,5,2,0,12
24,GP,F,no,15,services,health,5,3,2,8
25,GP,F,no,16,services,services,5,1,14,8
26,GP,M,no,15,other,other,5,1,2,11
27,GP,M,no,15,health,services,1,1,4,15
28,GP,M,no,16,services,other,5,2,4,11
29,GP,M,yes,16,teacher,teacher,5,2,16,11
30,GP,M,no,15,health,services,5,2,0,12
31,GP,M,no,15,services,services,5,2,0,17
32,GP,M,yes,15,teacher,at_home,5,2,0,16
33,GP,M,no,15,other,other,2,2,0,12
34,GP,M,no,16,other,other,5,1,0,15
35,GP,F,no,15,other,other,5,1,0,6
36,GP,M,no,15,teacher,services,4,3,2,18
37,GP,M,yes,16,other,teacher,5,3,7,15
38,GP,F,no,15,services,health,5,3,2,11
39,GP,F,no,15,at_home,other,2,1,8,13
40,GP,F,yes,16,other,other,3,2,25,11
41,GP,M,yes,15,teacher,other,5,1,8,12
42,GP,M,no,15,services,teacher,5,2,2,18
43,GP,M,no,15,services,services,1,1,0,11
44,GP,F,no,16,other,at_home,5,2,14,9
45,GP,F,yes,15,other,other,5,2,8,6
46,GP,F,no,16,other,services,3,2,12,11
47,GP,M,no,16,health,services,2,4,4,20
48,GP,M,no,15,teacher,other,5,2,2,14
49,GP,F,no,15,services,teacher,3,2,2,7
50,GP,F,no,16,services,services,4,2,2,13
51,GP,F,no,15,health,other,5,2,2,13
52,GP,M,no,15,health,health,5,1,6,10
53,GP,F,no,15,services,services,5,1,0,11
54,GP,F,no,15,other,other,1,1,6,13
55,GP,F,yes,16,other,other,2,2,8,10
56,GP,F,no,15,services,services,1,2,0,15
57,GP,M,no,15,teacher,health,5,2,4,15
58,GP,M,no,15,other,at_home,5,2,2,9
59,GP,F,no,16,services,other,5,2,2,16
60,GP,F,no,16,health,teacher,4,2,6,11
61,GP,F,yes,16,services,services,5,1,6,11
62,GP,F,no,16,other,services,1,2,4,9
63,GP,F,no,16,teacher,health,4,3,2,9
64,GP,F,yes,15,services,services,2,2,0,10
65,GP,F,no,16,teacher,services,1,2,2,15
66,GP,M,yes,15,other,services,3,4,4,12
67,GP,F,no,16,services,other,5,4,4,6
68,GP,F,no,15,health,services,4,2,2,8
69,GP,F,no,15,other,other,3,4,12,16
70,GP,M,no,16,other,other,5,4,0,15
71,GP,M,no,15,other,other,3,4,0,10
72,GP,F,yes,15,other,other,5,2,2,5
73,GP,M,no,16,other,other,5,1,2,14
74,GP,F,no,16,other,services,5,2,54,11
75,GP,M,no,15,teacher,other,5,2,6,10
76,GP,M,no,15,teacher,other,1,4,8,10
77,GP,F,yes,16,other,other,3,4,0,11
78,GP,M,no,17,other,other,3,1,2,10
79,GP,F,no,16,at_home,other,3,2,12,5
80,GP,M,yes,15,other,services,3,1,2,12
81,GP,M,no,15,other,other,5,3,4,11
82,GP,F,no,15,services,other,5,2,10,6
